rank,name,puuid,league_points,wins,losses,win_rate
60,Unknown,MxjqCQpntXMMZn0MQ1xCzngqM4EJIGxx5wq9JaUucqQKv-sbBdgKe7KOdZr2rOCE8kMQn1-DR74mIg,1186,216,181,54.41
61,Unknown,kXoEk8cS-tktKgZKX0kdY8nSEzAzt-1a-J6liSh5ObL4bFc9d4gXNXf7glg57oGkgQUY2lMzHK0nOQ,1186,99,63,61.11
62,Unknown,uh8jt_ynG9EjftsD-A0b8VBrPHjX7JWICWcoLaq86w6eboEG3o5YXcxnUUltLlz1XGLL4-8YHbtEng,1177,300,267,52.91
63,Unknown,bcdESDZfSP57W6qndUlnmXl-3cwtZC3ybvipalyTF8KryeC1sjV08tRwoXcr25YCWCUWTSmq03q0KQ,1177,137,98,58.3
64,Unknown,qAybzM1s0e0Id8Nhee4VGUYBTX8wg2kq0UaYcykjC9IY0yRr6Pi8SLH2cz2v-dqNC1l7igTo01N3cQ,1176,228,190,54.55
65,Unknown,R8_HTGrns4YqHn_hK-TLQjlGKwRelu8YDvTNBH62cgkTiKGqtW8Bt9QJbuqsfrejzfbe8-GsTo60RA,1175,140,116,54.69
66,Unknown,NfFCMsLH6aZqdtCfkdfpyh6069u9Q2W7ehUrcVLZnAU7LALQ1WEnQn9hA8DFUSr2BZTY5wjyonz6kg,1171,185,113,62.08
67,Unknown,cycYHm8FJNabCEYdE8riX8gWg10BrNGiF_n1kUjAG-iGHP0WBlZPW8zFuKcxtBt6ja2XYw3tb9f6Kg,1170,338,259,56.62
68,Unknown,1YwQXMcoq3rfE_VJsEzqsxBIP6w62FKGYbCu1N3NcAiHyzcxMLLLd1trtkC4v1DSrDmdq0maELUDpw,1170,233,208,52.83
69,Unknown,eBPuyeXyVk6hEwcAEAQDhMJ12l309DdDbarEs9K5dZxFRyZkixhM7ysDqd20iNQTv28E2MJwV_uadA,1166,206,180,53.37
70,Unknown,zddM19O3ZxX1KNqt6LKU2uQCEp-CehLqbnksUWNXpXwZy8O3oceg1txy-haVLzNHgo2hevq_qQa4XA,1165,160,134,54.42
71,Unknown,07vuSouR2JPeBZFXM_tRaQj0MxxxSvBkAUluZmkfTM3oT2MflaD8yU3H1z2VZsaKShHpU21lsnaMqA,1162,270,247,52.22
72,Unknown,T7LNY4pmgAkW8OausWQm4eNJ3XLSbKUg5hiYg2A-FaHqRp5D04x_7P7UmyxTTAeO8Ur9s2nXoyeH5w,1162,266,239,52.67
73,Unknown,F0DApYgrOTBDgn3AVr3t_WmCeNsOs2AXek7ektv69iCvA6hI_Ge12o-P2nNEiR7GHdQDL8EJeXCgmQ,1155,176,140,55.7
74,Unknown,hB5OjtVPkTLcZqOenlENF6t_CXPr0ZFk8YLtyadSt4GYdQVBi609ZsEHwZvYcBYuskp80XvXWvQBqg,1147,117,89,56.8
75,Unknown,YbgwNBVPwfFp29f-8bUhj12w7Jd7tbpzHnMlUdFmV5c3TgdMhTtdLwRPPsFVNkOqOmVmuDKde24QQw,1146,186,156,54.39
76,Unknown,flPHSgSGhG311olEeqptIlBMaqSwUSZrkluqNxqymUZQlR-jwLClQumkQNrQ6D_GP1Xzm0Qaa7ZteQ,1146,153,115,57.09
77,Unknown,JwNZOYX0C-EmAIUsiXenOXTbC-L_2NHIV2dzdd25JK7kcv_gbKGxUUmTU-tOE7eFc6jA2aGxeQvVrw,1144,218,195,52.78
78,Unknown,2NFKedliLRLTuElXCbwJ-I6ZVM4rC1AH82elbvjxfS93MwcCSnSFSBJmjk0DGJbqOpHdnGGMFWl1Iw,1138,153,100,60.47
79,Unknown,hE9Z-JzgE5U06kyHX4K9nRUW-fw9FIwRQUJGAVJfRbnGzIr2WqliYx4Nd8hktymnn_6fPH71lG5WzA,1136,190,164,53.67
80,Unknown,_Y_HRQpscfjQedgCft3zBZJzW_811Waf53KWurYM4Jc2BGshmuHKrqIvR8yIM1xpR3UaGlwuLbhypQ,1134,157,123,56.07
